"ID","Title","Alt Title","Special Mode Title","Locations","Comments"
"0","無","","","",""
"1","無","","","","Empty sound"
"2","プレリュード　〜再誕の煌めき〜","","","A Realm Reborn title",""
"3","夢見るは遙かなる空","","","Cid cutscenes","Old launcher theme, from 1.0"
"4","プレリュード　〜冒険の序章〜","","","Character Select & Creation",""
"5","安らぎの部屋","","","Inn theme",""
"6","水車の調べ","","","Gridania (day)",""
"7","蛍たちの舞踏会","","","Gridania (night)",""
"8","静穏の森","","","Central/North Shroud",""
"9","静穏の森","","","Black Shroud sanctuaries",""
"10","静穏の森","","","The Black Shroud",""
"11","静穏の森","","","South Shroud",""
"12","静穏の森","","","Sanctum of the Twelve",""
"13","森の鼓動","","","The Black Shroud combat",""
"14","不屈の闘志","","","Leves",""
"15","妨げられた眠り","","","The Tam-Tara Deepcroft",""
"16","隠し財宝を求めて","","","Early ARR Dungeons",""
"17","闇の抱擁","","闇の口付","ARR HM Dungeons",""
"18","勝利のファンファーレ　〜新生〜","","","End of most instances",""
"19","","","","",""
"20","勝利のファンファーレ　〜新生〜","","","End of most instances","No vocals 21"
"21","勝利のファンファーレ　〜新生〜","","","End of most instances",""
"22","???","","","Frontlines","Gate open theme"
"23","エッグハントの英雄","","","","Chiptune version of 21 (Victory)"
"24","精霊の意思","","","East Shroud",""
"25","偉大なる母港","","","Limsa Lominsa (day)",""
"26","船乗りは眠らない","","","Limsa Lominsa",""
"27","西風に乗せて ","","","Middle/Lower La Noscea",""
"28","西風に乗せて ","","","La Noscea",""
"29","西風に乗せて ","","","Eastern La Noscea",""
"30","西風に乗せて ","","","Eastern La Noscea",""
"31","西風に乗せて ","","","La Noscean sanctuaries",""
"32","潮流","","","La Noscea",""
"33","大地の鼓動","","","La Noscea combat",""
"34","","","","",""
"35","仄暗い底から ","","","Sastasha",""
"36","天より降りし力","","","Various",""
"37","名誉に賭けて","","","ARR Dungeon bosses",""
"38","ネメシス","","","ARR Dungeon final bosses",""
"39","槍旗","","","Instanced battles",""
"40","戦友","","","Guildhests",""
"41","乙女の哀歌","","","Haukke Manor",""
"42","千の悲鳴","","","The Thousand Maws of Toto-Rak",""
"43","野営地のお調子者","","","Brayflox's Longstop",""
"44","希望の都","","","Ul'dah (day)",""
"45","夢見る女王陛下","","","Ul'dah (night)",""
"46","灼熱の地へ","","","Western/Central Thanalan",""
"47","灼熱の地へ","","","Thanalan",""
"48","灼熱の地へ","","","Southern Thanalan",""
"49","灼熱の地へ","","","Thanalan sanctuaries",""
"50","灼熱の地へ","","","Thanalan",""
"51","儚き光彩","","","Eastern Thanalan",""
"52","荒野の鼓動","","","Thanalan combat",""
"53","地下坑道","","","Copperbell Mines",""
"54","闘士の修練所 ","","","Halatali",""
"55","生命の賜物 ","","","ARR Sanctuaries",""
"56","星の囁き","","","",""
"57","不調和","","","Northern Thanalan",""
"58","未知の領域へ","","","Cutscene (Edda)","Very short"
"59","五里霧中","","","Northern Thanalan outskirts","Very short and sounds similar to Discordance"
"60","交錯","","","Mor Dhona",""
"61","レンタル de チョコボ","","","Chocobo porters",""
"62","エオルゼア de チョコボ","","","Chocobo mounts",""
"63","双蛇党統合司令部","","","Twin Adder command",""
"64","黒渦団軍令部","","","Maelstrom command",""
"65","不滅隊作戦本部","","","Immortal Flames command",""
"66","砂の家","","","Western Thanalan",""
"67","汗を流して","","","Leves",""
"68","運命の導き","","","Certain FATEs",""
"69","全隊前へ！","","","Certain FATEs/Boss battles",""
"70","冥き地の底に","","","Cutscenes (1.0)",""
"71","ラノシアの疾風","","","Cutscenes (1.0)",""
"72","ザナラーンの黄昏","","","Cutscenes (1.0)",""
"73","露の玉、月の光","","","The Lotus Stand (Kan-E-Senna)",""
"74","砂の機密","","","Eorzean Alliance (Raubahn)",""
"75","洋上の小波","","","Eorzean Alliance (Merlwyb)",""
"76","帝国の意志","","","Cutscenes (Empire)",""
"77","エオルゼアの守護者","","","Cutscenes (Heroic)",""
"78","不穏な気配","","","Cutscenes (Suspense)",""
"79","血脈","","","Cutscenes (Tension)",""
"80","堂々巡り","","","Cutscenes (Mysterious/Hildibrand)",""
"81","プレリュード　〜再誕の煌めき〜 ","","","Cutscenes","Remix with a slightly different harp"
"82","英雄の凱旋","","","Cutscenes (Resolution)",""
"83","混沌の予感","","","Cutscenes (Tension)",""
"84","永遠の離別 ","","","Cutscenes (Sad)",""
"85","軍議","","","Wolves' Den / Northern Thanalan Sanctuaries",""
"86","ただひとつの道","","","Cutscenes (Positive)",""
"87","日溜り","","","Cutscenes (Positive)",""
"88","無常の喜び ","","","Cutscenes (Comedic)",""
"89","そして世界へ","","","Cutscenes (Heroic)",""
"90","古のジョブ","","","Cutscenes (esp. Job quests)",""
"91","極限を超えて","","","Job quest battles",""
"92","追憶の迷路","","","Cutscenes",""
"93","静かなる一刻","","","Cutscenes (Resolution)",""
"94","忍び寄る闇","","","Cutscenes (Ascians)",""
"95","第七星暦 / 新時代の暁","","","Cutscenes","Opens with The Seventh Sun, transitions to Dawn of a New Era"
"96","哀愁","","","Cutscenes (Sad)",""
"97","祈りの歌","","","Cutscenes (Exposition)",""
"98","心温まる場所","","","Cutscenes (Resolution)","1.0 track"
"99","夢見るは遙かなる空","","","Cutscenes (Resolution)",""
"100","街路の雑踏","","","Cutscenes (Comedic)","1.0 track"
"101","バイデザイン","","","Cutscenes (Comedic)","1.0 track"
"102","駆け引き","","","Cutscenes (Mysterious), Little Ladies' Day","1.0 track"
"103","事件屋のアレ","","","Hildibrand Theme",""
"104","","","","",""
"105","自然の賜物","","","Cutscenes, Eternal Bonding","1.0 track"
"106","舞い散る輝き","","","Various, Eternal Bonding","Harp-only version of Prelude"
"107","槍旗","","","Instanced battles, Fenrir battle","1.0 track"
"108","戦闘シーン1.X","","","Hildibrand FATEs/Hall of the Novice/B-ranks",""
"109","","","","",""
"110","潮風香る街","","","Aleport/Moraby Drydocks",""
"111","???","","","","Needs location & name, is an early unused version of A Reason To Live"
"112","我が魂を捧げて","","","Haukke Manor/Tam-Tara HM",""
"113","豪勇の士","","","Instanced battles",""
"114","破滅","","","Cutscenes (Suspense)",""
"115","宿命 ","","","Boss FATEs",""
"116","戦士の直感","","","Later ARR Dungeons",""
"117","奸計","","","Instanced battles/Qarn HM",""
"118","もう一杯！ ","","","Bars and Taverns",""
"119","輝く太陽","","","Costa del Sol",""
"120","原始の審判","","","The Bowl of Embers",""
"121","その背に揺られて","","","ARR mounts",""
"122","古城にて…… ","","","Amdapor Keep",""
"123","トンベリの涙","","","The Wanderer's Palace",""
"124","昔日の残響","","","The Sunken Temple of Qarn",""
"125","憎悪","","","Cutter's Cry",""
"126","極寒戦線","","","The Stone Vigil",""
"127","ゼーメル要塞","","","Dzemael Darkhold",""
"128","守銭奴の愚行","","","The Aurum Vale",""
"129","蒼き翼","","","The Enterprise",""
"130","前触れ","","","Cutscenes (Tension)","Excerpt from a longer 1.0 track"
"131","光の加護","","","Warrior of Light",""
"132","Answers","","","ARR End Credits",""
"133","オープニングテーマ","","","ARR End Credits Special/1.0 players","1.0 ending"
"134","世にも奇妙な厄介者","","","East Shroud (Sylphs)",""
"135","猛き嵐の剣に","","","North Shroud (Ixals)",""
"136","疾きこと銀の如く、硬きこと石の如く","","","Outer La Noscea (Kobolds)",""
"137","蛮勇","","","Western La Noscea (Sahagin)","1.0 track"
"138","炎獄の火種","","","Southern Thanalan (Amal'jaa)","1.0 track"
"139","","","","",""
"140","","","","",""
"141","忠義 ","","","Coerthas Central Highlands",""
"142","竜の葬送歌","","","Coerthas Central Highlands (Whitebrim)",""
"143","鋼の信仰","","","Coerthas Central Highlands (Observatorium)",""
"144","雪山の鼓動","","","Coerthas Central Highlands battle",""
