"ID","Duration"
"0","0"
"1","0"
"2","38"
"3","64"
"4","291"
"5","108"
"6","312"
"7","206"
"8","44"
"9","71"
"10","103"
"11","74"
"12","60"
"13","74"
"14","153"
"15","74"
"16","111"
"17","104"
"18","40"
"19","0"
"20","7"
"21","8"
"22","9"
"23","4"
"24","82"
"25","370"
"26","318"
"27","28"
"28","62"
"29","64"
"30","114"
"31","56"
"32","49"
"33","76"
"34","0"
"35","94"
"36","122"
"37","71"
"38","190"
"39","215"
"40","171"
"41","78"
"42","57"
"43","68"
"44","312"
"45","298"
"46","31"
"47","141"
"48","87"
"49","111"
"50","40"
"51","95"
"52","75"
"53","96"
"54","84"
"55","67"
"56","35"
"57","20"
"58","12"
"59","23"
"60","211"
"61","102"
"62","127"
"63","197"
"64","184"
"65","189"
"66","108"
"67","135"
"68","133"
"69","203"
"70","160"
"71","161"
"72","117"
"73","92"
"74","81"
"75","63"
"76","161"
"77","98"
"78","58"
"79","79"
"80","97"
"81","94"
"82","86"
"83","61"
"84","145"
"85","46"
"86","37"
"87","107"
"88","91"
"89","152"
"90","91"
"91","105"
"92","81"
"93","158"
"94","180"
"95","384"
"96","197"
"97","65"
"98","111"
"99","64"
"100","111"
"101","130"
"102","150"
"103","78"
"104","0"
"105","137"
"106","56"
"107","215"
"108","85"
"109","0"
"110","110"
"111","57"
"112","77"
"113","161"
"114","44"
"115","100"
"116","75"
"117","98"
"118","92"
"119","93"
"120","191"
"121","186"
"122","75"
"123","63"
"124","54"
"125","61"
"126","63"
"127","71"
"128","69"
"129","81"
"130","53"
"131","27"
"132","870"
"133","212"
"134","96"
"135","131"
"136","201"
"137","126"
"138","84"
"139","0"
"140","0"
"141","212"
"142","60"
"143","55"
"144","82"
"145","69"
"146","175"
"147","188"
"148","241"
"149","433"
"150","233"
"151","145"
"152","173"
"153","265"
"154","119"
"155","222"
"156","312"
"157","46"
"158","78"
"159","47"
"160","61"
"161","42"
"162","64"
"163","80"
"164","165"
"165","122"
"166","81"
"167","44"
"168","28"
"169","31"
"170","55"
"171","203"
"172","186"
"173","119"
"174","84"
"175","175"
"176","144"
"177","102"
"178","169"
"179","160"
"180","158"
"181","198"
"182","26"
"183","98"
"184","97"
"185","322"
"186","109"
"187","229"
"188","60"
"189","67"
"190","44"
"191","112"
"192","85"
"193","109"
"194","68"
"195","90"
"196","86"
"197","134"
"198","452"
"199","171"
"200","160"
"201","145"
"202","175"
"203","133"
"204","226"
"205","121"
"206","82"
"207","139"
"208","244"
"209","266"
"210","63"
"211","92"
"212","58"
"213","0"
"214","98"
"215","63"
"216","151"
"217","142"
"218","162"
"219","122"
"220","104"
"221","338"
"222","123"
"223","118"
"224","16"
"225","61"
"226","109"
"227","265"
"228","157"
"229","104"
"230","204"
"231","239"
"232","73"
"233","308"
"234","202"
"235","212"
"236","215"
"237","104"
"238","220"
"239","44"
"240","55"
"241","103"
"242","134"
"243","180"
"244","247"
"245","179"
"246","197"
"247","153"
"248","214"
"249","160"
"250","136"
"251","132"
"252","79"
"253","65"
"254","292"
"255","67"
"256","133"
"257","203"
"258","28"
"259","22"
"260","24"
"261","17"
"262","108"
"263","265"
"264","239"
"265","338"
"266","226"
"267","312"
"268","222"
"269","191"
"270","0"
"271","52"
"272","1015"
"273","63"
"274","92"
"275","252"
"276","286"
"277","325"
"278","327"
"279","127"
"280","145"
"281","123"
"282","327"
"283","230"
"284","123"
"285","190"
"286","214"
"287","123"
"288","282"
"289","270"
"290","123"
"291","263"
"292","299"
"293","123"
"294","249"
"295","123"
"296","104"
"297","87"
"298","76"
"299","134"
"300","140"
"301","130"
"302","125"
"303","141"
"304","104"
"305","163"
"306","171"
"307","171"
"308","110"
"309","124"
"310","71"
"311","108"
"312","117"
"313","100"
"314","107"
"315","93"
"316","131"
"317","101"
"318","67"
"319","140"
"320","59"
"321","157"
"322","25"
"323","71"
"324","246"
"325","234"
"326","118"
"327","155"
"328","135"
"329","39"
"330","84"
"331","145"
"332","108"
"333","61"
"334","172"
"335","242"
"336","153"
"337","165"
"338","93"
"339","79"
"340","155"
"341","195"
"342","91"
"343","79"
"344","122"
"345","172"
"346","333"
"347","135"
"348","118"
"349","95"
"350","171"
"351","190"
"352","103"
"353","197"
