"ID","Title","Alt Title","Special Mode Title","Locations","Comments"
"0","無","","","",""
"1","無","","","","Empty sound"
"2","水晶序曲-再诞的辉煌*","","","A Realm Reborn title","水晶序曲--完成成就旋律的沉醉者1后获得。"
"3","夢見るは遙かなる空","","","Cid cutscenes","Old launcher theme, from 1.0"
"4","水晶序曲-冒险的序章","","","Character Select & Creation","登录界面音乐"
"5","安乐小屋*","","","Inn theme","安乐小屋--通过商店购买，麦森塔：格里达尼亚新街"
"6","水车低鸣*","","","Gridania (day)","水车低鸣--通过商店购买，麦森塔：格里达尼亚新街"
"7","萤火之舞*","","","Gridania (night)","萤火之舞--通过商店购买，麦森塔：格里达尼亚新街"
"8","沉静*","","","Central/North Shroud","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"9","沉静*","","","Black Shroud sanctuaries","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"10","沉静*","","","The Black Shroud","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"11","沉静*","","","South Shroud","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"12","沉静*","","","Sanctum of the Twelve","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"13","森の鼓動","","","The Black Shroud combat",""
"14","坚毅","","","Leves","坚毅--通过兑换获得，稀少琥珀商人：伊修加德基础层"
"15","被惊扰的长眠**","","","The Tam-Tara Deepcroft",""
"16","掠夺者的财宝*","","","Early ARR Dungeons","掠夺者的财宝--通过深层迷宫“正统优雷卡”中的金/银辉宝藏鉴定获得，瓦莱罗瓦娜：摩杜纳"
"17","黑暗的拥抱*","","闇の口付","ARR HM Dungeons","黑暗的拥抱--(1)通过鉴定深层迷宫“天之御柱”中的黄金宝藏获得，海贼众的鉴定师：红玉海 （2)修复由副本：骚乱坑道铜铃铜山中“复仇者 乌拉诺斯”掉落的""陈旧的乐谱：黑暗的拥抱""获得"
"18","胜利的号角　～重生～*","","","End of most instances","胜利的号角　～重生～--通过副本获得，宝物库：惊奇百宝城/厄尔庇斯育体宝殿"
"19","無","","","",""
"20","胜利的号角　～重生～*","","","End of most instances","胜利的号角　～重生～--通过副本获得，宝物库：惊奇百宝城/厄尔庇斯育体宝殿"
"21","胜利的号角　～重生～*","","","End of most instances","胜利的号角　～重生～--通过副本获得，宝物库：惊奇百宝城/厄尔庇斯育体宝殿"
"22","???","","","Frontlines","Gate open theme"
"23","猎蛋的英雄**","","","","版本 1.x的原声音乐专辑『Before Meteor』收录"
"24","精灵的意志**","","","East Shroud","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录"
"25","伟大的母港*","","","Limsa Lominsa (day)","伟大的母港--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"26","水手不眠*","","","Limsa Lominsa","水手不眠--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"27","乘上西风*","","","Middle/Lower La Noscea","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"28","乘上西风*","","","La Noscea","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"29","乘上西风*","","","Eastern La Noscea","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"30","乘上西风*","","","Eastern La Noscea","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"31","乘上西风*","","","La Noscean sanctuaries","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"32","浪潮**","","","La Noscea","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录"
"33","大地的鼓动**","","","La Noscea combat","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录"
"34","","","","",""
"35","昏暗的深处*","","","Sastasha","昏暗的深处--通过副本获得，天然要害沙斯塔夏溶洞"
"36","天降之力*","","","Various","天降之力--通过兑换获得，纪念品兑换员：金蝶游乐场"
"37","名誉之战*","","","ARR Dungeon bosses","名誉之战--通过兑换获得，纪念品兑换员：金蝶游乐场"
"38","复仇*","","","ARR Dungeon final bosses","复仇--通过部队潜水艇探索获得，翠浪海：K /S "
"39","枪旗**","","","Instanced battles","1.x版本的原声音乐专辑『Before Meteor』收录"
"40","战友**","","","Guildhests","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录"
"41","少女的哀歌*","","","Haukke Manor","少女的哀歌--通过副本获得，名门府邸静语庄园"
"42","千声悲鸣*","","","The Thousand Maws of Toto-Rak","千声悲鸣--通过副本获得，监狱废墟托托·拉克千狱"
"43","莫要在野营地撒野*","","","Brayflox's Longstop","莫要在野营地撒野--通过副本获得，休养胜地布雷福洛克斯野营地"
"44","希望之都*","","","Ul'dah (day)","希望之都--通过商店购买，劳力士：乌尔达哈现世回廊"
"45","女王的美梦*","","","Ul'dah (night)","女王的美梦--通过商店购买，劳力士：乌尔达哈现世回廊"
"46","灼热之地*","","","Western/Central Thanalan","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"47","灼热之地*","","","Thanalan","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"48","灼热之地*","","","Southern Thanalan","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"49","灼热之地*","","","Thanalan sanctuaries","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"50","灼热之地*","","","Thanalan","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"51","一瞬的光彩*","","","Eastern Thanalan","一瞬的光彩--成功完成临危受命:跨天桥上的死斗 迎击兹兹卢恩，通过商店购买，茶茶姆恩：东萨纳兰"
"52","荒野的鼓动**","","","Thanalan combat","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"53","地下坑道*","","","Copperbell Mines","地下坑道--通过副本获得，封锁坑道铜铃铜山boss“强腕的居格斯”击败后的宝箱"
"54","修行*","","","Halatali","修行--通过副本获得，魔兽领域日影地修炼所boss“兽斗士 坦伽塔”击败后的宝箱"
"55","生命的礼物**","","","ARR Sanctuaries","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"56","星辰的私语**","","","","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"57","不调和**","","","Northern Thanalan","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"58","超越未知**","","","Cutscene (Edda)","Very short"
"59","五里雾中**","","","Northern Thanalan outskirts","Very short and sounds similar to Discordance"
"60","交错**","","","Mor Dhona","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"61","出租中的陆行鸟**","","","Chocobo porters","1.x版本的原声音乐专辑『Before Meteor』收录"
"62","艾欧泽亚陆行鸟*","","","Chocobo mounts","艾欧泽亚陆行鸟--通过商店购买，（1）住宅区商人：各住宅区 （2）杂用商人：各住宅区公寓大厅 （3）杂用商人：白银乡、穹顶皓天"
"63","蛇巢司令部*","","","Twin Adder command","蛇巢司令部--通过兑换获得，双蛇党补给负责人：格里达尼亚新街"
"64","黑涡军令部*","","","Maelstrom command","黑涡军令部--通过兑换获得，黑涡团补给负责人：利姆萨·罗敏萨上层甲板"
"65","恒辉作战总部*","","","Immortal Flames command","恒辉作战总部--通过兑换获得，恒辉队补给负责人：乌尔达哈现世回廊"
"66","沙之家*","","","Western Thanalan","沙之家--通过商店购买，哈奈可·布恩奈可：沙之家"
"67","挥汗如雨*","","","Leves","挥汗如雨--通过兑换获得，稀少琥珀商人：伊修加德基础层"
"68","命运的指引**","","","Certain FATEs","1.x版本的原声音乐专辑『Before Meteor』收录"
"69","全队前进！**","","","Certain FATEs/Boss battles","1.x版本的原声音乐专辑『Before Meteor』收录"
